-- Localized text for The Penwick Papers mod

-- Text values are literals and should be wrapped in quotes ""
schema: *key,$text
PoisonNeutralizeMuchRemains, "Poison partially neutralized...but much remains..."
LunaStick, "Luna Stick"
RecoverFatigue, "Refresh"
RegenerateHealth, "Mend"
RecoverMagicka, "Accrue Fluxe"
ExpungePoison, "Expunge"
CleansePoison, "Cleanse"
RecoverStrength, "Recoup Brawn"
RecoverIntelligence, "Recoup Mind"
RecoverWillpower, "Recoup Will"
RecoverAgility, "Recoup Grace"
RecoverEndurance, "Recoup Grit"
RecoverPersonality, "Recoup Wit"
RecoverSpeed, "Recoup Pace"
ResistParalysis, "Aegis Paralytic"
Moonseed, "Moonseed"
Magebane, "Magebane"
PyrrhicAcid, "Pyrrhic Acid"
RemedyApplied, "...remedy applied"
StuffMakeThingGood, "...stuff make thing good..."
TreatPrefix, "...on the treatment of "
TreatObscuringUmbraViaLuminescentMediator, "Obscuring Umbra via Luminescent Mediator"
TreatLethargyViaExhilarantTonic, "Lethargy via Exhilarant Tonic"
TreatLethargyViaErgogenicInfusion, "Lethargy via Ergogenic Infusion"
TreatSalubriousAccelerantViaBotanicalTincture, "Salubrious Accelerant via Botanical Tincture"
TreatSalubriousAccelerantViaRemedialPoultice, "Salubrious Accelerant via Remedial Poultice"
TreatFluxePaucityViaMetallurgicCordial, "Fluxe Paucity via Metallurgic Cordial"
TreatFluxePaucityViaDraconicIncense, "Fluxe Paucity via Draconic Incense"
TreatToxaemiaViaRenalExpungement, "Toxaemia via Renal Expungement"
TreatToxaemiaViaDiaphoreticDepurative, "Toxaemia via Diaphoretic Depurative"
TreatAtrophiaViaAnapleroticTincture, "Atrophia via Anaplerotic Tincture"
TreatAtrophiaViaAnapleroticUnction, "Atrophia via Anaplerotic Unction"
TreatPhrenitisViaAntiphlogisticTonic, "Phrenitis via Antiphlogistic Tonic"
TreatCephalicPhlegmasiaViaAntiphlogisticInfusion, "Cephalic Phlegmasia via Antiphlogistic Infusion"
TreatDeliriumViaBotanicalCordial, "Delirium via Botanical Cordial"
TreatAmentiaViaBotanicalEnema, "Amentia via Botanical Enema"
TreatAtaxiaViaAntispasmodicEnema, "Ataxia via Antispasmodic Enema"
TreatAtaxiaViaAntispasmodicSalve, "Ataxia via Antispasmodic Salve"
TreatAnaemiaViaHepaticDepurative, "Anaemia via Hepatic Depurative"
TreatHepaticPhlegmasiaViaFloralIncense, "Hepatic Phlegmasia via Floral Incense"
TreatDistemperViaSoothingCordial, "Distemper via Soothing Cordial"
TreatEffluviaViaRectifyingDecoction, "Effluvia via Rectifying Decoction"
TreatKinesiaViaCalomel, "Kinesia via Calomel"
TreatCatylepsyViaAntiparalyticOintment, "Catylepsy via Antiparalytic Ointment"
Envenomed, "Envenomed"



--Enhanced Info
YouSeeNothing, "You see much of nothing..."
YouSeeACreature, "You see a {0} {1} - {2}"
YouSeeAbnormalCreature, "You see a {0} {1} {2} - {3}"
YouSeeDescribedNPC, "You see the {0} {1} - {2}"
YouSeeMemberNPC, "You see the {0} {1} - {2} - {3}"
YouSeeUndescribedMemberNPC, "You see {0} - {1} - {2}"
YouWitnessNPC, "You witness {0} - {1}"
YouSeeFamiliarNPC, "You see {0} - {1}"
YouSeeTheNPCGuard, "You see {0} of The City Watch - unhalting in his duties"
Man, "man"
Woman, "woman"
Boy, "boy"
Girl, "girl"
Foreigner, "foreigner"
Noble, "Noble"
SearchingForSomething, "searching for something"
NoddingRespectfully, "nodding respectfully"

---EnhancedInfo Descriptors
Absorbing, "absorbing"
Adroit, "adroit"
Agile, "agile"
Aloof, "aloof"
Alluring, "alluring"
Amorous, "amorous"
Amusing, "amusing"
Annoyed, "annoyed"
Anxious, "anxious"
Appalled, "appalled"
Aspiring, "aspiring"
Baleful, "baleful"
Battered, "battered"
Beefcake, "beefcake"
Befuddled, "befuddled"
Beguiling, "beguiling"
Bitter, "bitter"
Bleak, "bleak"
Bloody, "bloody"
Bookish, "bookish"
Bored, "bored"
Bowing, "bowing"
Brash, "brash"
Brave, "brave"
Brisk, "brisk"
Brooding, "brooding"
Buff, "buff"
Bumbling, "bumbling"
Burning, "burning"
Busy, "busy"
Cagey, "cagey"
Calloused, "calloused"
Canny, "canny"
Captivating, "captivating"
Cerebral, "cerebral"
Chaffing, "chaffing"
Charming, "charming"
Chilly, "chilly"
Clammy, "clammy"
Clandestine, "clandestine"
Coarse, "coarse"
Concerned, "concerned"
Cocky, "cocky"
Comely, "comely"
Comical, "comical"
Confused, "confused"
Contemplative, "contemplative"
Covert, "covert"
Cool, "cool"
Coy, "coy"
Crafty, "crafty"
Crestfallen, "crestfallen"
Cryptic, "cryptic"
Curious, "curious"
Curt, "curt"
Curtseying, "curtseying"
Cynical, "cynical"
Damaged, "damaged"
Damp, "damp"
Dark, "dark"
Despondent, "despondent"
Devoted, "devoted"
Devout, "devout"
Disgusted, "disgusted"
Disheveled, "disheveled"
Distracted, "distracted"
Doubtful, "doubtful"
Drained, "drained"
Drenched, "drenched"
Dripping, "dripping"
Dubious, "dubious"
Dutiful, "dutiful"
Eager, "eager"
Enigmatic, "enigmatic"
Enlightened, "enlightened"
Enthralling, "enthralling"
Entrancing, "entrancing"
Evasive, "evasive"
Exasperated, "exasperated"
Exemplary, "exemplary"
Exhausted, "exhausted"
Experienced, "experienced"
Faithful, "faithful"
Fascinated, "fascinated"
Fascinating, "fascinating"
Fervid, "fervid"
Fervent, "fervent"
Fetching, "fetching"
Fetid, "fetid"
Flexing, "flexing"
Flirty, "flirty"
Flourishing, "flourishing"
Flustered, "flustered"
Focused, "focused"
Fond, "fond"
Forsaken, "forsaken"
Fortified, "fortified"
Frail, "frail"
Freezing, "freezing"
Fretting, "fretting"
Friendly, "friendly"
Frowning, "frowning"
Frugal, "frugal"
Frumpy, "frumpy"
Furtive, "furtive"
Genteel, "genteel"
Giddy, "giddy"
Glum, "glum"
Graceful, "graceful"
Grazed, "grazed"
Grim, "grim"
Guarded, "guarded"
Hardened, "hardened"
Harried, "harried"
Heady, "heady"
Healing, "healing"
Healthy, "healthy"
Hopeful, "hopeful"
Hostile, "hostile"
Hungry, "hungry"
Hunky, "hunky"
Hurried, "hurried"
Hypnotic, "hypnotic"
Icy, "icy"
Impenetrable, "impenetrable"
Impure, "impure"
Indifferent, "indifferent"
Inscrutable, "inscrutable"
Inspiring, "inspiring"
Invigorated, "invigorated"
Jovial, "jovial"
Joyless, "joyless"
Klutzy, "klutzy"
Leery, "leery"
Limber, "limber"
Lively, "lively"
Lithe, "lithe"
Lorn, "lorn"
Lurid, "lurid"
Lusty, "lusty"
Mangled, "mangled"
Miffed, "miffed"
Mirthless, "mirthless"
Miserly, "miserly"
Moody, "moody"
Morbid, "morbid"
Mortified, "mortified"
Mucky, "mucky"
Muddled, "muddled"
Muddy, "muddy"
Mysterious, "mysterious"
Naughty, "naughty"
Nauseated, "nauseated"
Nervous, "nervous"
Neutral, "neutral"
Nimble, "nimble"
Numb, "numb"
Obedient, "obedient"
Obscure, "obscure"
Organized, "organized"
Paralyzed, "paralyzed"
Paranoid, "paranoid"
Perplexed, "perplexed"
Perplexing, "perplexing"
Perspiring, "perspiring"
Pious, "pious"
Playful, "playful"
Poignant, "poignant"
Poisoned, "poisoned"
Polished, "polished"
Pristine, "pristine"
Provacative, "provacative"
Prudent, "prudent"
Questionable, "questionable"
Quivering, "quivering"
Refined, "refined"
Reflecting, "reflecting"
Repulsed, "repulsed"
Resigned, "resigned"
Resisting, "resisting"
Restless, "restless"
Reverent, "reverent"
Revolted, "revolted"
Riveting, "riveting"
Rousing, "rousing"
Saluting, "saluting"
Savaged, "savaged"
Savvy, "saavy"
Scandalous, "scandalous"
Scarred, "scarred"
Sceptical, "sceptical"
Scowling, "scowling"
Seductive, "seductive"
Shielded, "shielded"
Shifty, "shifty"
Shivering, "shivering"
Shrewd, "shrewd"
Shy, "shy"
Shady, "shady"
Shocked, "shocked"
Silenced, "silenced"
Sinuous, "sinuous"
Skittish, "skittish"
Slick, "slick"
Sly, "sly"
Soaked, "soaked"
Solemn, "solemn"
Sopping, "sopping"
SoulTrapped, "soul-trapped"
Spry, "spry"
Stained, "stained"
Stark, "stark"
Stern, "stern"
Steadfast, "steadfast"
Stoic, "stoic"
Stout, "stout"
Strapping, "strapping"
Stubborn, "stubborn"
Studied, "studied"
Suffering, "suffering"
Sulking, "sulking"
Sullied, "sullied"
Superior, "superior"
Supple, "supple"
Suspicious, "suspicious"
Sweaty, "sweaty"
Tainted, "tainted"
Tarnished, "tarnished"
Teasing, "teasing"
Tense, "tense"
Tepid, "tepid"
Tired, "tired"
Trembling, "trembling"
Tricky, "tricky"
Troubled, "troubled"
Unaware, "unaware"
Urbane, "urbane"
Vampish, "vampish"
Vexed, "vexed"
Violent, "violent"
Virile, "virile"
Virtuous, "virtuous"
Warm, "warm"
Wary, "wary"
Weakening, "weakening"
Weary, "weary"
Winking, "winking"
Wise, "wise"
Withdrawn, "withdrawn"
Wounded, "wounded"
Wry, "wry"
Zealous, "zealous"







